ORACLE boat.cape_islander 60 poses; max birth=0.00030m; pixels=0.0119; mesh=CapeIslanderIsoHullMesh
ORACLE boat.coastal_packet 60 poses; max birth=0.00037m; pixels=0.0146; mesh=CoastalPacketIsoHullMesh
ORACLE boat.console_skiff 60 poses; max birth=0.00011m; pixels=0.0046; mesh=ConsoleIsoHullMesh
ORACLE boat.dory 60 poses; max birth=0.00009m; pixels=0.0037; mesh=DoryIsoHullMesh
ORACLE boat.dory_outboard 60 poses; max birth=0.00009m; pixels=0.0037; mesh=DoryIsoHullMesh
ORACLE boat.lobster_boat 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterBoatIsoHullMesh
ORACLE boat.lobster_inshore_hardtop_fundy 60 poses; max birth=0.00011m; pixels=0.0046; mesh=LobsterInshoreHardtopFundyIsoHullMesh
ORACLE boat.lobster_inshore_hardtop_newfoundland 60 poses; max birth=0.00011m; pixels=0.0043; mesh=LobsterInshoreHardtopNewfoundlandIsoHullMesh
ORACLE boat.lobster_inshore_hardtop_northumberland 60 poses; max birth=0.00011m; pixels=0.0046; mesh=LobsterInshoreHardtopNorthumberlandIsoHullMesh
ORACLE boat.lobster_inshore_open_fundy 60 poses; max birth=0.00011m; pixels=0.0043; mesh=LobsterInshoreOpenFundyIsoHullMesh
ORACLE boat.lobster_inshore_open_newfoundland 60 poses; max birth=0.00011m; pixels=0.0043; mesh=LobsterInshoreOpenNewfoundlandIsoHullMesh
ORACLE boat.lobster_inshore_open_northumberland 60 poses; max birth=0.00011m; pixels=0.0043; mesh=LobsterInshoreOpenNorthumberlandIsoHullMesh
ORACLE boat.lobster_offshore_hardtop_fundy 60 poses; max birth=0.00029m; pixels=0.0116; mesh=LobsterOffshoreHardtopFundyIsoHullMesh
ORACLE boat.lobster_offshore_hardtop_newfoundland 60 poses; max birth=0.00029m; pixels=0.0116; mesh=LobsterOffshoreHardtopNewfoundlandIsoHullMesh
ORACLE boat.lobster_offshore_hardtop_northumberland 60 poses; max birth=0.00029m; pixels=0.0116; mesh=LobsterOffshoreHardtopNorthumberlandIsoHullMesh
ORACLE boat.lobster_offshore_open_fundy 60 poses; max birth=0.00030m; pixels=0.0119; mesh=LobsterOffshoreOpenFundyIsoHullMesh
ORACLE boat.lobster_offshore_open_newfoundland 60 poses; max birth=0.00029m; pixels=0.0116; mesh=LobsterOffshoreOpenNewfoundlandIsoHullMesh
ORACLE boat.lobster_offshore_open_northumberland 60 poses; max birth=0.00030m; pixels=0.0119; mesh=LobsterOffshoreOpenNorthumberlandIsoHullMesh
ORACLE boat.lobster_standard_hardtop_fundy 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterStandardHardtopFundyIsoHullMesh
ORACLE boat.lobster_standard_hardtop_newfoundland 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterStandardHardtopNewfoundlandIsoHullMesh
ORACLE boat.lobster_standard_hardtop_northumberland 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterStandardHardtopNorthumberlandIsoHullMesh
ORACLE boat.lobster_standard_open_fundy 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterStandardOpenFundyIsoHullMesh
ORACLE boat.lobster_standard_open_newfoundland 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterStandardOpenNewfoundlandIsoHullMesh
ORACLE boat.lobster_standard_open_northumberland 60 poses; max birth=0.00027m; pixels=0.0107; mesh=LobsterStandardOpenNorthumberlandIsoHullMesh
ORACLE boat.punt 60 poses; max birth=0.00010m; pixels=0.0040; mesh=PuntIsoHullMesh
ORACLE boat.punt_upgraded 60 poses; max birth=0.00011m; pixels=0.0043; mesh=PuntIsoHullMesh
ORACLE boat.side_dragger 60 poses; max birth=0.00075m; pixels=0.0299; mesh=SideDraggerIsoHullMesh
ORACLE boat.sloop_30 60 poses; max birth=0.00010m; pixels=0.0040; mesh=SloopIsoHullMesh
ORACLE boat.sloop_88 60 poses; max birth=0.00050m; pixels=0.0198; mesh=Sloop88IsoHullMesh
ORACLE boat.sport_fisher_convertible 60 poses; max birth=0.00030m; pixels=0.0119; mesh=SportFisherConvertibleIsoHullMesh
ORACLE boat.sport_fisher_skybridge 60 poses; max birth=0.00040m; pixels=0.0159; mesh=SportFisherSkybridgeIsoHullMesh
ORACLE boat.sport_skiff 60 poses; max birth=0.00011m; pixels=0.0046; mesh=SportSkiffIsoHullMesh
ORACLE boat.sport_skiff_mk2 60 poses; max birth=0.00011m; pixels=0.0046; mesh=SportSkiffMk2IsoHullMesh
ORACLE boat.sport_skiff_twin 60 poses; max birth=0.00011m; pixels=0.0046; mesh=SportSkiffIsoHullMesh
ORACLE boat.stern_trawler 60 poses; max birth=0.00022m; pixels=0.0087; mesh=SternTrawlerIsoHullMesh
ORACLE boat.stern_trawler_mk2 60 poses; max birth=0.00021m; pixels=0.0084; mesh=SternTrawlerMk2IsoHullMesh
ORACLE boat.tanker 60 poses; max birth=0.00030m; pixels=0.0119; mesh=TankerIsoHullMesh
ORACLE boat.zodiac_frc 60 poses; max birth=0.00012m; pixels=0.0049; mesh=ZodiacFrcIsoHullMesh
ORACLE boat.zodiac_hurricane 60 poses; max birth=0.00011m; pixels=0.0046; mesh=ZodiacHurricaneIsoHullMesh
ORACLE SUMMARY hulls=39 samples=2340 maxPose=0.000034m maxBirth=0.000748m tolerance=0.0625m pixelsPerMetre=40.00000 oldHeadingRejected=234
